timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,tcp_flags,tcp_seq,tcp_ack,payload_size
1780061274.133779,172.20.0.20,172.20.0.10,UDP,35091,5002,190,,,,148
1780061274.134374,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.236678,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236685,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236687,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236688,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236776,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236777,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236777,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236778,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236779,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236779,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236779,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236794,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.236918,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.236982,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.236993,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.237002,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.23701,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.237022,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.237031,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.23704,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.23705,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.237059,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.237068,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.237077,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.337372,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.337857,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.737446,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.737549,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.73755,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.737731,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.737788,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.7378,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.737883,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.737985,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.838743,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838753,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838756,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838757,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838936,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838937,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838938,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.83894,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838941,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838941,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838942,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838943,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.838945,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.839009,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.83918,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.83927,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839281,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.83929,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839299,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839315,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839325,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839335,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839342,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.83935,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839359,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839367,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839377,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.839386,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.939869,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.939876,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.939876,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.939937,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061274.940056,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.940107,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.940116,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061274.940126,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.339252,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.339256,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.339615,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.339716,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.440505,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440513,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440514,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440515,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440516,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440517,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440518,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440522,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440523,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440524,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440525,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440526,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440527,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440527,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.440905,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441007,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441034,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441058,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.44108,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.44111,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441134,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441157,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441179,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441202,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441223,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441245,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441267,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.441291,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.54165,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.541855,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061275.94129,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061275.941455,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.442678,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.442894,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543354,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543364,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543365,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543366,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543367,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543368,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543369,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.54337,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543371,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543373,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543374,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543376,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.543644,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.54369,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543698,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543717,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543729,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543742,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543749,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543757,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543764,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543772,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.54378,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.543788,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.643934,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.643938,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061276.644184,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061276.644255,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061277.044162,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.044166,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.044167,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.044167,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.044342,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061277.044392,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061277.044401,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061277.044408,172.20.0.10,172.20.0.20,UDP,5002,35091,63,,,,21
1780061277.144675,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.14468,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.144681,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.144682,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.144682,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.144683,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
1780061277.144684,172.20.0.20,172.20.0.10,UDP,35091,5002,1087,,,,1045
