timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,tcp_flags,tcp_seq,tcp_ack,payload_size
1780056736.344019,172.20.0.20,172.20.0.10,TCP,51570,5001,74,S,899653319,0,0
1780056736.344125,172.20.0.10,172.20.0.20,TCP,5001,51570,74,SA,497246602,899653320,0
1780056736.354227,172.20.0.20,172.20.0.10,TCP,51570,5001,66,A,899653320,497246603,0
1780056736.354382,172.20.0.20,172.20.0.10,TCP,51570,5001,193,PA,899653320,497246603,127
1780056736.354401,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246603,899653447,0
1780056736.355892,172.20.0.10,172.20.0.20,TCP,5001,51570,68,PA,497246603,899653447,2
1780056736.365961,172.20.0.20,172.20.0.10,TCP,51570,5001,66,A,899653447,497246605,0
1780056736.366006,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899653447,497246605,2896
1780056736.366009,172.20.0.20,172.20.0.10,TCP,51570,5001,1266,PA,899656343,497246605,1200
1780056736.366011,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899657543,497246605,2896
1780056736.366045,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899656343,0
1780056736.366063,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899660439,497246605,2896
1780056736.366064,172.20.0.20,172.20.0.10,TCP,51570,5001,1514,A,899663335,497246605,1448
1780056736.366065,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899664783,497246605,2896
1780056736.366068,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899660439,0
1780056736.366086,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899663335,0
1780056736.36609,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899667679,0
1780056736.376083,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899667679,497246605,2896
1780056736.376087,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899670575,497246605,2896
1780056736.376088,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899673471,497246605,2896
1780056736.376088,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899676367,497246605,2896
1780056736.376089,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899679263,497246605,2896
1780056736.376095,172.20.0.20,172.20.0.10,TCP,51570,5001,4410,PA,899682159,497246605,4344
1780056736.376096,172.20.0.20,172.20.0.10,TCP,51570,5001,4410,PA,899686503,497246605,4344
1780056736.376159,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899670575,0
1780056736.376185,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899690847,0
1780056736.376197,172.20.0.20,172.20.0.10,TCP,51570,5001,4410,PA,899690847,497246605,4344
1780056736.376198,172.20.0.20,172.20.0.10,TCP,51570,5001,1514,A,899695191,497246605,1448
1780056736.376315,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899696639,0
1780056736.386204,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899696639,497246605,2896
1780056736.386209,172.20.0.20,172.20.0.10,TCP,51570,5001,8754,PA,899699535,497246605,8688
1780056736.386264,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899699535,0
1780056736.386276,172.20.0.20,172.20.0.10,TCP,51570,5001,8754,PA,899708223,497246605,8688
1780056736.386278,172.20.0.20,172.20.0.10,TCP,51570,5001,8754,PA,899716911,497246605,8688
1780056736.386278,172.20.0.20,172.20.0.10,TCP,51570,5001,5858,PA,899725599,497246605,5792
1780056736.38628,172.20.0.20,172.20.0.10,TCP,51570,5001,8754,PA,899731391,497246605,8688
1780056736.386302,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899740079,0
1780056736.386376,172.20.0.20,172.20.0.10,TCP,51570,5001,10202,PA,899740079,497246605,10136
1780056736.386377,172.20.0.20,172.20.0.10,TCP,51570,5001,4410,PA,899750215,497246605,4344
1780056736.386385,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899750215,0
1780056736.386388,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899754559,0
1780056736.396299,172.20.0.20,172.20.0.10,TCP,51570,5001,5858,PA,899754559,497246605,5792
1780056736.39631,172.20.0.20,172.20.0.10,TCP,51570,5001,14546,PA,899760351,497246605,14480
1780056736.396371,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899760351,0
1780056736.39639,172.20.0.20,172.20.0.10,TCP,51570,5001,18890,PA,899774831,497246605,18824
1780056736.396392,172.20.0.20,172.20.0.10,TCP,51570,5001,18890,PA,899793655,497246605,18824
1780056736.396393,172.20.0.20,172.20.0.10,TCP,51570,5001,5858,PA,899812479,497246605,5792
1780056736.396395,172.20.0.20,172.20.0.10,TCP,51570,5001,18890,PA,899818271,497246605,18824
1780056736.396399,172.20.0.20,172.20.0.10,TCP,51570,5001,20338,PA,899837095,497246605,20272
1780056736.396401,172.20.0.20,172.20.0.10,TCP,51570,5001,7306,PA,899857367,497246605,7240
1780056736.396402,172.20.0.20,172.20.0.10,TCP,51570,5001,5858,PA,899864607,497246605,5792
1780056736.396404,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899774831,0
1780056736.396438,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899870399,0
1780056736.406422,172.20.0.20,172.20.0.10,TCP,51570,5001,11650,PA,899870399,497246605,11584
1780056736.406462,172.20.0.20,172.20.0.10,TCP,51570,5001,26130,PA,899881983,497246605,26064
1780056736.406464,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899908047,497246605,2896
1780056736.406476,172.20.0.20,172.20.0.10,TCP,51570,5001,43506,PA,899910943,497246605,43440
1780056736.406477,172.20.0.20,172.20.0.10,TCP,51570,5001,2962,PA,899954383,497246605,2896
1780056736.406484,172.20.0.20,172.20.0.10,TCP,51570,5001,43506,PA,899957279,497246605,43440
1780056736.406489,172.20.0.20,172.20.0.10,TCP,51570,5001,18890,PA,900000719,497246605,18824
1780056736.406492,172.20.0.20,172.20.0.10,TCP,51570,5001,17450,PA,900019543,497246605,17384
1780056736.406565,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899881983,0
1780056736.40658,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899908047,0
1780056736.406584,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899910943,0
1780056736.406585,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899954383,0
1780056736.406589,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,899957279,0
1780056736.406602,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900036927,0
1780056736.416599,172.20.0.20,172.20.0.10,TCP,51570,5001,34818,PA,900036927,497246605,34752
1780056736.416604,172.20.0.20,172.20.0.10,TCP,51570,5001,10194,PA,900071679,497246605,10128
1780056736.416611,172.20.0.20,172.20.0.10,TCP,51570,5001,50746,PA,900081807,497246605,50680
1780056736.416624,172.20.0.20,172.20.0.10,TCP,51570,5001,11650,PA,900132487,497246605,11584
1780056736.416632,172.20.0.20,172.20.0.10,TCP,51570,5001,60882,PA,900144071,497246605,60816
1780056736.416632,172.20.0.20,172.20.0.10,TCP,51570,5001,1514,A,900204887,497246605,1448
1780056736.416639,172.20.0.20,172.20.0.10,TCP,51570,5001,60882,PA,900206335,497246605,60816
1780056736.41664,172.20.0.20,172.20.0.10,TCP,51570,5001,1514,A,900267151,497246605,1448
1780056736.416648,172.20.0.20,172.20.0.10,TCP,51570,5001,62330,PA,900268599,497246605,62264
1780056736.416654,172.20.0.20,172.20.0.10,TCP,51570,5001,44954,PA,900330863,497246605,44888
1780056736.416724,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900071679,0
1780056736.416739,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900081807,0
1780056736.41674,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900132487,0
1780056736.416743,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900144071,0
1780056736.416744,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900204887,0
1780056736.416769,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900375751,0
1780056736.426764,172.20.0.20,172.20.0.10,TCP,51570,5001,20338,PA,900375751,497246605,20272
1780056736.426777,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900396023,497246605,65160
1780056736.426789,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900461183,497246605,65160
1780056736.4268,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900526343,497246605,65160
1780056736.426813,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900591503,497246605,65160
1780056736.426826,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900656663,497246605,65160
1780056736.426839,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900721823,497246605,65160
1780056736.426852,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900786983,497246605,65160
1780056736.426853,172.20.0.20,172.20.0.10,TCP,51570,5001,2650,PA,900852143,497246605,2584
1780056736.426923,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900396023,0
1780056736.42694,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900461183,0
1780056736.42695,172.20.0.10,172.20.0.20,TCP,5001,51570,66,A,497246605,900854727,0
1780056736.43696,172.20.0.20,172.20.0.10,TCP,51570,5001,62642,PA,900854727,497246605,62576
1780056736.436971,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900917303,497246605,65160
1780056736.436979,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,900982463,497246605,65160
1780056736.436988,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,901047623,497246605,65160
1780056736.437025,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,901112783,497246605,65160
1780056736.437034,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,901177943,497246605,65160
1780056736.437042,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,901243103,497246605,65160
1780056736.437051,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,901308263,497246605,65160
1780056736.437059,172.20.0.20,172.20.0.10,TCP,51570,5001,65226,PA,901373423,497246605,65160
