timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,tcp_flags,tcp_seq,tcp_ack,payload_size
1780057739.923739,172.20.0.20,172.20.0.10,UDP,47614,5002,190,,,,148
1780057739.924046,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975365,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.97537,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975371,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975371,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975374,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975374,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975374,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975375,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975448,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975448,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975449,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975449,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975459,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975473,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975474,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057739.975603,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975664,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975673,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975681,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975689,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.9757,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975708,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975715,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975723,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975731,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975739,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975763,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975772,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975794,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057739.975816,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
1780057740.026293,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.026296,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.026299,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.026299,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.0263,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.0263,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.026367,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.026367,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.026368,172.20.0.20,172.20.0.10,UDP,47614,5002,1087,,,,1045
1780057740.026479,172.20.0.10,172.20.0.20,UDP,5002,47614,63,,,,21
